section,section,"Division ou subdivision d ’ un ouvrage , d ’ un traité , d ’ un compte , d ’ une ville , d ’ un tribunal , d ’ un conseil , d ’ une académie , d ’ un établissement d ’ enseignement , fraction d ’ un corps de troupe ,"
section,section,"Petite unité , subdivisée en escouades et regroupée en pelotons ."
section,section,"Désigne , dans certaines écoles , celui qui est le premier de sa promotion ."
must,must,"Devoir incontournable , obligation sociale ."
must,must,Chose superficielle mais plaisante .
don,present,"Action d ’ offrir à ’ un quelque chose , de lui en abandonner la propriété ou présent qu ’ on lui fait ainsi ."
don,present,Chose donnée .
don,present,Abandon ou délaissement gratuit à ’ un d ’ un objet ainsi accordé .
don,present,"Donation entre conjoints de l ’ usufruit de leur bien , pour que le survivant en jouisse ."
via,via,Route antique .
via,via,Petit trou de circuit imprimé que l ’ on peut remplir par un lien métallique .
via,via,En passant par .
via,via,Par l ’ intermédiaire de .
le,so,Pronom d ’ attribut
le,so,Pronom masculin singulier accusatif de la troisième personne
test,test,"Coquille externe dure , calcaire ou chitineuse , de certains invertébrés ."
test,test,"Essai , opération que l ’ on fait pour vérifier la véracité d ’ une hypothèse ou d ’ un fait ."
test,test,"Examen , concours ou épreuve , évaluation des capacités d ’ une personne ."
test,test,Opération de vérification des propriétés réelles d ’ un produit .
course,run,"Action de courir , mouvement de celui qui court ."
course,run,Toute épreuve sportive où la vitesse est en jeu .
course,run,"Cours , mouvement apparent des astres ,"
course,run,"Actes d ’ hostilité que l ’ on faisait en courant les mers ou en entrant dans le pays usage On dit maintenant incursion , reconnaissance , pointe ,"
premier,first,Celui que précède tous les autres
face,face,Figure humaine .
face,face,La partie antérieure de la tête .
face,face,"Le côté d ’ une pièce de monnaie où est empreinte la figure , à l opposé du côté pile ."
face,face,"Mesure qui sert à déterminer les proportions du corps humain , et qui est égale à la longueur du visage ."
certain,some,Fixé ; déterminé .
certain,some,"Qui est assuré d ’ une chose , qui en a la certitude ."
certain,some,"Par antiphrase Qui est à déterminer ; qu ’ on ne veut pas déterminer . — usage Dans ce sens , on met certain devant le nom ."
certain,some,"D ’ une façon indéterminée , pour atténuer ce qu ’ une expression aurait de trop absolu ."
vol,theft,Action de s ’ approprier le bien d ’ autrui sans son accord
ring,ring,Espace délimité par des cordes
un,one,Le nombre 1
ex,ex,Ancien conjoint ou partenaire .
ex,ex,Ancien collaborateur .
unique,unique,Qui est seul en son genre .
unique,unique,"Désigne un objet mathématique qui est le seul à vérifier une propriété , éventuellement à transformations près ."
unique,unique,Qui est de beaucoup des autres et auquel les autres ne peuvent être comparés .
unique,unique,"Se dit d ’ un homme ridicule , d ’ un extravagant , pour dire qu ’ il n ’ a pas son semblable ."
billion,trillion,"Un million de millions , ou mille milliards . 10 12 , c ’ 1 000 000 000 000 ."
billion,trillion,"Milliard . Cet usage , qui suit l ’ échelle courte , est aujourd ’ hui très rare ."
mine,mina,( Antiquité ) Unité de poids
pan,section,Partie plane et plus ou moins large d ’ un mur .
pan,section,Partie retombante d ’ un vêtement .
pan,section,"Morceau , partie délimitée de quelque chose ."
pan,section,Partie d un mur
las,tired,Endroit de la grange où l on stocke la récolte de céréale . .
las,tired,Pelle en bois utilisée par les sauniers .
las,tired,Qui est importuné jusqu ’ au dégoût
las,tired,Qui éprouve trop de fatigue pour continuer
rare,rare,Qui est en petit nombre ; qui se trouve difficilement .
rare,rare,"Qui est peu commun , peu courant ."
rare,rare,Qualifie une personne qui a un mérite extraordinaire .
rare,rare,Qualifie une barbe clairsemée .
il,he,"Personne , animal ou chose"
mi,mi,"Note de musique , cinquième degré de l ’ échelle fondamentale , troisième son de la gamme naturelle ."
index,index,Table qui complète la table des matières d ’ un texte . Elle recense alphabétiquement les du texte ; ces mots sont accompagnés de renvois vers leurs principales mentions dans le texte .
index,index,"particulier Table alphabétique du vocabulaire spécial à une langue , à un dialecte ou à un auteur ."
index,index,Catalogue des livres défendus de lecture par la congrégation de l Église catholique .
index,index,"Doigt le plus proche du pouce , parce que c ’ est dont on se sert ordinairement pour indiquer , pour montrer quelque chose ."
importance,importance,"Ce qui fait qu ’ une chose est d ’ un grand intérêt , est considérable par , ou par les circonstances qui l ’ accompagnent , ou par les suites qu ’ elle peut avoir ."
importance,importance,"Caractère de ce qui est considérable en nombre , en quantité , en volume , en dimension ."
importance,importance,"Autorité , crédit , influence ."
importance,importance,"Caractère de ceux qui montrent de l ’ orgueil , de la vanité et veulent paraître plus considérables qu ’ ils ne le sont réellement ."
sur,on,Indique une position plus élevée .
sur,on,Indique une supériorité .
sur,on,Indique une direction .
sur,on,"Indique une position temporelle , un instant donné ."
versus,versus,"Contre , en opposition à , face à , comparé usage Sert à marquer une opposition , une contradiction ou une comparaison entre deux choses ."
ce,this,Pronom démonstratif
dos,back,"Partie du corps humain située du postérieur , depuis le cou jusqu ’ aux reins ."
dos,back,Partie équivalente au <concept> humain du corps de certains animaux .
dos,back,"Envers , partie de certaines choses qui , par sa destination , par sa position ou par sa forme , offre quelque rapport avec le dos de l ’ homme ou de l ’ animal ."
dos,back,"Partie opposée au tranchant d ’ une lame , qui porte généralement les inscriptions indiquant le nom du fournisseur de l ’ arme ."
ba,ba,"L ’ âme immortelle , une des parties de l ’ âme humaine ."
os,bone,"Tissu dur et calcifié du squelette des animaux vertébrés , consistant en très grande partie en carbonate de calcium , phosphate de calcium et gélatine ."
os,bone,"Élément du squelette des animaux vertébrés , fait de ce tissu dur et calcifié ."
os,bone,"Problème , difficulté , obstacle ou imprévu ."
est,east,"Point cardinal , à droite quand on regarde l ’ horizon vers le nord . Direction d ’ où le soleil se lève ."
est,east,Partie du monde ou d ’ un pays qui est du côté de l ’ Est .
jo,jō,"Arme d ’ origine japonaise constituée d ’ un bâton de 1,28"
con,arsehole,"Bête , désagréable ou mauvais"
sec,dry,Qui a peu ou pas d ’ humidité .
sec,dry,"Il est opposé à vert et frais , lorsqu ’ on parle des herbes , des plantes ."
sec,dry,"Dont on a évaporé les éléments humides , séché ou asséché ."
sec,dry,Décharné ; nerveux ; osseux .
cent,cent,Subdivision musicale
cent,cent,Subdivision monétaire
tu,you,Pronom personnel sujet de la deuxième personne du singulier
par,by,Sert à marquer le mouvement et le passage .
par,by,"S ’ emploie aussi au sens de en , dans , avec l ’ idée de mouvement dans l ’ espace indiqué ."
par,by,À travers .
par,by,À la hauteur de .
ah,ah,Expression de divers sentiments
ton,tone,Luminosité d une couleur
ton,tone,( Linguistique ) Hauteur et modulation d ’ un son
invention,invention,"Solution nouvelle , trouvée pour la première fois , inédite , et prouvée par un prototype qui fonctionne , d ’ un problème pratique , scientifique ou technique ."
invention,invention,Action d ’ inventer .
invention,invention,Solution technique qui peut faire l ’ objet d ’ une demande de brevet .
invention,invention,Fugue à deux voix .
bi,bee,Voir .
comment,what,Invitation à répéter
comment,what,Expression de surprise
pour,for,Au motif de ; dans le but de ; afin de ; à destination de .
pour,for,"À cause de , en considération de ."
pour,for,"En faveur de , en vue de la défense de ."
pour,for,"Envers , à l ’ égard de ."
ru,rivulet,Petit ruisseau .
mu,mu,"μ , Μ , douzième lettre et huitième consonne de l ’ alphabet grec ."
ti,dot,Impulsion courte de l ’ alphabet morse .
mon,my,"Assurément , usage Utilisé avec le pronom ce et le verbe être , avoir ou faire 2008 ."
mon,my,Insigne héraldique japonais .
comparable,comparable,Qui peut être comparé avec ’ un ou avec quelque chose pour leur ressemblance .
comparable,comparable,au pluriel Entre lesquels existe une relation d ’ ordre .
comparable,comparable,Qui peut être comparé
dans,in,Préposition de lieu qui marque le rapport d ’ une personne ou d ’ une chose à ce qui la contient . Introduit un complément circonstanciel de lieu .
dans,in,"par ext S ’ applique à des termes abstraits pour désigner la situation qu ’ une personne occupe , l ’ état où elle est , la disposition où elle se trouve ,"
dans,in,"Avec des mots qui indiquent une époque , une durée ."
dans,in,Indique un moment postérieur au moment de l ’ énonciation .
probable,likely,"Qui a une apparence de vérité , qui paraît fondé en raison ."
probable,likely,"Qualifie l opinion qui est fondée sur des raisons de quelque considération , soutenues par un auteur grave ."
probable,likely,"Qu ’ il est raisonnable de supposer , de conjecturer ."
état,state,"Disposition dans laquelle se trouve une personne , une chose , une affaire ."
état,state,"Liste , registre ."
état,state,"Mémoire , inventaire ."
état,state,"Profession , condition ."
cv,hp,Symbole du
mal,evil,Refusé par une doctrine
mal,evil,"Ce qui est contraire au bien , ce qui est mauvais , nuisible , désavantageux , préjudiciable ..."
mal,evil,"Peine , difficulté"
mal,evil,"Douleur , maladie"
parole,word,Faculté naturelle de parler .
parole,word,"Ton de la voix , selon qu ’ elle est forte ou faible , douce ou rude , la qualité du débit , selon qu ’ il est précis ou confus ."
parole,word,Façon d ’ articuler les mots .
parole,word,"Exercice de la faculté de quelquefois Éloquence , diction ."
sans,without,"Préposition marquant l ’ absence , le manque , l ’ exclusion d ’ une personne , d ’ une chose . — usage On n ’ utilise généralement pas d ’ article indéfini ou partitif . Peut s ’ accentuer avec aucun ."
sans,without,"Elle se place aussi devant un infinitif pour marquer l ’ absence , le manque d ’ une manière d ’ être ou d ’ agir ."
sans,without,"Préposition marquant l ’ absence , le manque , l ’ exclusion"
divers,diverse,"Qui est de nature ou de qualité différente , ou qui présente plusieurs faces , plusieurs apparences ."
encore,still,"Qui sert à marquer que l ’ action ou l ’ état dont il s ’ agit se continue , se continuera ou s ’ est continué jusqu ’ au temps indiqué par le verbe ou par les autres circonstances du discours . Pour la négation , voir pas encore ."
encore,still,De nouveau .
encore,still,"Aussi ; de plus . — note En particulier , il s ’ emploie dans ce sens avec la conjonction mais , par opposition à non seulement ."
encore,still,"Il se joint à l ’ adverbe plus , lorsqu ’ on veut exprimer qu ’ une qualité , qu ’ une chose enchérit sur une autre ."
beau,beautiful,"au singulier Tout ce qui est excellent , parfait , admirable dans son genre ."
beau,beautiful,Homme qui joue de sa beauté .
beau,beautiful,"Marque des efforts vains , avoir <concept>"
beau,beautiful,C est <concept> : D accord ; équivaut à : C est bon en France .
deux,two,Nombre 2 indiquant une quantité
ci,here,"Il se met très souvent , dans les comptes , avant le chiffre qui indique le montant de chaque article ."
ci,here,Particule exprimant une idée de proximité avec l ’ adjectif démonstratif ce ou avec le pronom démonstratif celui . Voir .
ci,here,"Il se met également devant les prépositions dessus , dessous , devant , après et contre , pour former les locutions adverbiales , , , et qui s ’ emploient ordinairement pour marquer ce qui précède ou ce qui suit ."
vu,given,"au singulier Ce qui est exposé sur les productions respectives , les pièces , les raisons qui sont énoncées avant le dispositif ."
vu,given,au singulier Examen des pièces .
nouveau,new,"Objectivement Qui n ’ existait pas auparavant , avant telle date donnée , avec rien de pareil ni de comparable ."
nouveau,new,Subjectivement Que l ’ on n ’ avait jamais vu auparavant .
nouveau,new,"Qui tire de son caractère récent une valeur de création , d ’ invention , un sentiment de nouveauté intrinsèque ."
nouveau,new,<concept> pour ’ un ; qui était jusqu ’ ici inconnu de lui ; dont il n ’ a pas l ’ habitude .
dire,say,Exprimer par la parole .
dire,say,"Ordonner , conseiller ."
dire,say,Énoncer par écrit .
dire,say,S ’ emploie souvent dans le sens de répondre à une objection .
moi,ego,instance psychanalytique du psychisme
moi,ego,ce qui est personnel à un
sous,below,"Sert à marquer la situation d ’ une chose à l ’ égard d ’ une autre qui est , , qui la couvre en totalité ou en partie ."
sous,below,"Marque la situation d ’ un lieu par rapport à un autre plus élevé ou en amont , s ’ ils sont au bord d ’ une rivière ."
sous,below,"Marque la subordination , la dépendance ."
sous,below,"Se dit de ce qui recouvre , de ce qui cache ."
entre,between,Au milieu ou à peu près au milieu de l ’ espace qui sépare des personnes ou des choses dont on parle .
entre,between,Ce qui est dans tout l ’ espace enfermé par les extrémités que l ’ on désigne .
entre,between,parfois Dans ; en .
entre,between,plus rare De .
trillion,quintillion,Un milliard de milliards ou un million au cube . 10 18 .
trillion,quintillion,ou Un million de millions . 10 12 .
début,beginning,"particulier Premiers essais sur les planches , au théâtre ."
début,beginning,Premier ouvrage d ’ un auteur .
début,beginning,"Départ dans la vie , dans une profession ou dans une entreprise ."
début,beginning,Commencement
avec,with,Conjointement à ; en compagnie de .
avec,with,"Introduit des compléments circonstanciels indiquant la manière , l ’ instrument ,"
avec,with,"Ce qu ’ une personne offre en elle de singulier , d ’ extraordinaire , de ridicule ,"
avec,with,"Contre , dans une relation où il y a deux côtés ."
gens,people,Personnes en nombre indéterminé .
gens,people,"Tous ceux qui sont d ’ un état , d ’ une profession quelconque . — note il est suivi de la préposition de et d ’ un nom qui désigne cette profession , ou cet état ."
gens,people,"Ceux qui sont d ’ un parti , par opposition à ceux de l ’ autre ."
gens,people,"Personnes qui sont d ’ une même partie de jeu , de festin ,"
durant,during,Tout au long de .
durant,during,Au cours de .
durant,during,1 . Tout au long de .
lui,him,Pronom tonique
vous,you,Singulier ou pluriel de politesse
vous,you,Pronom de la deuxième personne du pluriel
ours,imprint,Mention légale ( 3 )
première,premiere,"Nom que l ’ on donne à la toute première représentation publique d ’ un spectacle , d ’ un film , d ’ une pièce de théâtre , etc , d une opération chirurgicale , d une ascension par une nouvelle voie ,"
première,premiere,"Chose faite pour la <concept> fois dans un secteur d activité , un domaine ou une zone géographique donnés ."
première,premiere,par ext Nom donné à tout événement qui ne s ’ était jusqu ’ alors jamais produit .
première,premiere,"classe du lycée , entre la seconde et la terminale , pour les adolescents de ans ."
sensible,sensitive,Qui a la faculté de recevoir les impressions physiques .
sensible,sensitive,En parlant des impressions morales .
sensible,sensitive,"absolument Qui est aisément ému , touché , attendri ."
sensible,sensitive,Qui se fait sentir ; qui fait impression sur les sens .
sobre,sober,Qui est tempérant dans le boire et dans le manger .
sobre,sober,"en particulier Qui ne consomme pas de psychotrope , en particulier l ’ alcool ."
sobre,sober,"part Qui est peu exigeant pour sa nourriture , en parlant des animaux ."
sobre,sober,Où l ’ on ne fait pas d ’ excès de table .
nous,we,Première personne du pluriel en tant que sujet
nous,we,Utilisé en tant que complément
sein,chest,"Partie antérieure du thorax humain , où se trouvent les mamelles ."
sein,chest,par ext Poitrine de la femme .
sein,chest,Chacune des mamelles de la femme .
sein,chest,ou Partie du corps de la femme où se développe l enfant de la conception à la naissance ; utérus .
ces,these,Nom du do bémol dans la nomenclature musicale allemande .
ici,here,Il marque la proximité immédiate dans l ’ espace par rapport à soi .
ici,here,"par ext Dans ce , dans cette , , par opposition à un autre pays , à une autre ville , désignés quelquefois par l ’ adverbe ."
ici,here,"Il marque la différence des lieux , sans rapport de distance . Dans ce cas , il est corrélatif de l ’ adverbe là ."
ici,here,Il marque une simple opposition entre deux actions faites à des moments différents .
contre,against,"En opposition à ; en rencontre ; dans un choc ,"
contre,against,"Malgré , sans avoir égard à ; en dépit de ."
contre,against,"Auprès de , proche de , à côté de ."
contre,against,À comparer avec . Note : s ’ emploie uniquement pour établir un contraste entre des chiffres .
après,after,Nuance d ’ un propos
après,after,Par ellipse
après,after,Qu ’ en ?
mot,word,"Succession de sons dans les langues parlées , ou de signes dans les langues des signes ou écrites , qui a un sens propre , et qui est isolée soit par deux blancs à l ’ écrit , soit par une pause à l ’ oral ."
mot,word,"Groupement de lettres de l ’ alphabet juxtaposées , et séparés des autres tels groupements par des espaces , des signes de ponctuation ou d ’ autres caractères hors de l ’ alphabet ."
mot,word,Séquence de symboles .
mot,word,Parole ; discours .
pur,pure,Qui est sans mélange .
pur,pure,"Qui n ’ est point altéré , vicié , corrompu ou souillé ."
pur,pure,"Qui est sans altération , sans corruption , sans tache , sans souillure ."
pur,pure,particulier Qui est chaste .
essai,try,"Test , examen , épreuve de solidité , de pérennité , d ’ adéquation ."
essai,try,particulier Opération par laquelle on s ’ assure de la pureté d ’ un métal ou de la nature de celui qui est contenu dans une mine .
essai,try,"Premières productions de l ’ esprit ou de l ’ art qui se font sur quelque sujet , sur quelque matière , pour voir si l ’ on y réussira ."
essai,try,"Ouvrage littéraire explorant un domaine donné selon le point de vue de l ’ auteur . Il est intitulé ainsi , soit par modestie , soit parce que l ’ auteur ne se propose pas d ’ approfondir la matière de son traité . — note Contrairement à l ’ étude , l ’ essai peut être polémique ou partisan ."
vers,verse,"surtout au pluriel Suite de mots rythmés selon la quantité , l ’ accentuation , le nombre des syllabes ou le retour de la rime ."
vers,verse,au singulier dans un sens collectif L ensemble de la poésie d un auteur ou d une école .
vers,verse,En direction de .
vers,verse,Du côté de .
fait,fact,"Donnée observable de l ’ expérience , en particulier en droit et dans la jurisprudence"
fait,fact,"Toute chose qui arrive , qui a lieu , qui a eu lieu"
fait,fact,"Ce que ’ un <concept> , a fait ou fera"
mais,but,Autrefois un adverbe qui signifiait « plus » . Il a encore ce sens dans l ’ expression n ’ en pouvoir mais .
mais,but,S ’ emploie encore comme adverbe pour insister .
mais,but,Exprime une opposition
mais,but,Exprime une restriction
autre,additional,"Personne différente de la personne qui parle , autrui ."
autre,additional,S ’ emploie également par opposition à un ou une pour distinguer deux êtres ou deux choses ou bien encore deux groupes d ’ êtres ou de choses déterminés ou indéterminés .
autre,additional,"Toute personne appartenant à une culture note Toujours au masculin singulier , avec article défini , et parfois la majuscule : l ’ autre , l ’ Autre ."
seul,alone,Qui est sans compagnie ; qui n ’ est pas avec d ’ autres .
seul,alone,"Orphelin , dans les expressions :"
seul,alone,"À l ’ exclusion de tout autre ; unique . — note Dans cette acception , il se place généralement avant le nom , tandis qu ’ il se met ordinairement après dans le premier sens : Un seul homme , un homme unique . Un homme seul , un homme qui se trouve sans compagnie . Il est à noter qu ’ en emploi adverbial , le mot continue de s ’ accorder . , Banque de dépannage linguistique"
seul,alone,"Qui est sans compagnie , qui n ’ est pas avec d ’ autres"
là,there,Sert à désigner un endroit autre que celui où l ’ on est . — note On le remplace souvent par quand il s ’ agit d ’ un lieu plus ou moins éloigné .
là,there,"Ici . — note Usage contemporain , où là tend couramment à remplacer ici ."
là,there,Particule exprimant une idée de distance avec l ’ adjectif démonstratif ce ou avec le pronom démonstratif celui . Voir .
là,there,"S ’ oppose encore à « ici » pour distinguer deux endroits , sans idée précise de proximité ou d ’ éloignement ."
quand,when,"( En tête d ’ une proposition interrogative ) Dans quel temps , à quel moment"
été,summer,"La plus chaude des quatre saisons de l ’ année . Dans l ’ hémisphère nord , l ’ été astronomique s ’ étend du 7 mai au 7 août , le solstice d ’ été représentant le milieu de l ’ été . L ’ été météorologique , qui comprend les mois les plus chauds de l ’ année , comprend les mois de juin , juillet et août . L ’ été calendaire français , enfin , s ’ étend du 21 juin au 22 septembre . Dans l ’ hémisphère sud , ce découpage correspond à la saison d ’ hiver ."
été,summer,Saison chaude de l ’ année
retour,return,"Tour en sens contraire . — note Dans cette acception , il ne s ’ emploie guère qu ’ au pluriel et avec le mot tours ."
retour,return,"Action du cerf qui revient sur , c ’ sur les mêmes voies , pour les confondre et dérouter les chiens ."
retour,return,"Ruse , artifice ."
retour,return,"Action de revenir , de retourner ."
même,even,"Qui n ’ est pas autre , qui n ’ est point différent . — note Dans ce sens , il est placé devant un nom et s ’ emploie généralement avec l ’ article défini ou l ’ article indéfini ."
même,even,"Présenté souvent sous la forme : le même que , la même que , il implique une comparaison entre deux idées et marque soit l identité , soit la ressemblance ."
même,even,"S ’ emploie sans article et se place immédiatement après un nom ou un pronom pour marquer plus expressément la personne ou la chose dont on parle . Il a alors même sens que , , ."
même,even,"Il se met aussi après les noms qui désignent quelques qualités , pour exprimer qu ’ elles sont au plus haut degré dans la personne dont on parle ."
dernier,latter,Celui qui arrive après tous les autres
trop,too,Plus qu ’ il ne faut ; avec excès .
trop,too,Un nombre ou une quantité avec excès .
trop,too,"Très , extrêmement ."
trop,too,Avec excès
très,very,"Beaucoup , au plus haut point ."
juste,just,"simplement , seulement"
juste,just,"dans les bonnes proportions , comme il faut"
juste,just,avec le ton correct
juste,just,précisément
près,near,"À petite distance , à proximité ."
près,near,"À peu de temps , avant ou après ."
près,near,En délégation auprès de .
près,near,À petite distance ou à peu de temps .
toujours,always,"En tout temps , continuellement , sans cesse , sans relâche , sans fin ."
toujours,always,Le plus souvent ; habituellement ; ordinairement .
toujours,always,Comme par le passé .
toujours,always,"Sans exception , en toute rencontre , en toute occasion ."
devant,front,côté à l ’ avant
dont,whose,"De qui , de quoi , duquel , de laquelle , desquels , desquelles ."
outre,across,Au delà de
mien,mine,Ce qui est à moi ou ceux qui sont à moi .
passé,past,Le temps écoulé .
passé,past,Ce qui a été fait ou dit autrefois .
passé,past,"Plusieurs temps du verbe exprimant une action qui a eu lieu , ou un état qui a existé dans un temps écoulé par rapport au moment où l ’ on parle ."
passé,past,Point de broderie où la soie ou le coton passent en dessus et en dessous de l ’ étoffe .
naturel,natural,"Qui est relatif à la nature , à l ’ ensemble des êtres et des choses , à l ’ ordre qui les régit ."
naturel,natural,"Ce qui est conforme aux lois de la nature , par opposition à surnaturel ."
naturel,natural,"Ce qui est suit le cours spontané des choses , par opposition à artificiel ou forcé ."
naturel,natural,"Qui est conforme à la nature particulière de chaque espèce , de chaque individu , de chaque chose ."
pièce,piece,Chacun des éléments d ’ un ensemble pièce par pièce
pièce,piece,Élément composite d ’ un ensemble .
pièce,piece,Elément extrait d ’ un ensemble d ’ éléments de même nature .
pièce,piece,Résultat de la fragmentation d ’ une chose compacte . …
droite,right,Côté droit .
droite,right,par ext Coup donné avec la main .
droite,right,"Ensemble des partis conservateurs ou réactionnaires , qui historiquement siègent à droite du président de l ’ assemblée ."
droite,right,Direction vers la fin d ’ une phrase .
mince,thin,Qui a peu d ’ épaisseur .
mince,thin,"Svelte , élancé , pas gros ."
mince,thin,"Qui est faible , peu considérable , médiocre ."
mince,thin,"Svelte , élancé , pas gros"
parler,speak,"Proférer , prononcer , articuler des mots ."
parler,speak,"Imiter le langage de l ’ homme , en parlant de certains oiseaux comme les perroquets , les , les geais , les pies ,"
parler,speak,Exprimer sa pensée en articulant les mots d ’ une langue .
parler,speak,S ’ exprimer heureusement sur certains sujets .
voie,way,"Chemin , route par où l ’ on va d ’ un lieu à un autre ."
voie,way,Chemin matérialisé par deux rails parallèles .
