la,la,syllable used in solfège to represent the sixth note of a major scale
test,tester,to administer an examination during the academic term
test,tester,to place a product or piece of equipment under everyday and / or extreme conditions
system,système,A collection of organized things ; a whole composed of relationships among its members .
system,système,"A set of equations involving the same variables , which are to be solved simultaneously ."
system,système,The body organs that contribute to a vegetative function .
system,système,A set of staffs that indicate instruments or sounds that are to be played simultaneously .
state,déclarer,declare to be a fact
mine,extraire,remove from the ground
little,peu,small amount
re,ré,the second note in solfège
be,être,To exist ; to have real existence .
be,être,", or dialectally it , as dummy subject } } To exist ."
be,être,To occupy a place .
be,être,"To occur , to take place ."
end,finir,"transitive : finish , terminate ( something )"
end,finir,"ergative , intransitive : be finished , be terminated"
general,général,military rank
rare,saignant,cooked very lightly
high,haut,Very elevated ; extending or being far above a base ; tall ; lofty .
high,haut,"Pertaining to in an area which is at a greater elevation , for example more mountainous , than other regions ."
high,haut,Above the batter s shoulders .
high,haut,Relatively elevated ; rising or raised above the average or normal level from which elevation is measured .
due,dû,Owed or owing .
due,dû,"Having reached the expected , scheduled , or natural time ."
due,dû,"Owing ; ascribable , as to a cause ."
due,dû,"On a direct bearing , especialy for the four points of the compass"
line,croiser,of a dog : impregnate
ad,pub,"name , first name , last name"
ad,pub,"to throw , organize"
ad,pub,"to , at , in } }"
ad,pub,"direction toward , to , on , up to , for"
tenant,locataire,"One who pays a fee in return for the use of land , buildings , or other property owned by others ."
tenant,locataire,One who has possession of any place ; a dweller ; an occupant .
tenant,locataire,"One who holds a property by any kind of right , including ownership ."
tenant,locataire,"To hold as , or be , a tenant ."
relative,parent,"someone in the same family ; someone connected by blood , marriage , or adoption"
four,quatre,the digit or figure 4
first,premier,person or thing in the <concept> position
first,premier,new occurrence
your,ton,belonging to you ( singular ; one owner )
your,ton,belonging to you ( plural ; more owners )
li,li,"The Chinese mile , a traditional unit of distance equal to 1500 chis or 150 zhangs , now standardized as a ."
li,li,"The Korean mile , a traditional unit of distance equivalent to about ."
li,li,"A traditional Chinese unit of weight , equal to one-thousandth of a liang , or fifty milligrams ."
li,li,"A meaningful ceremony or ritual ; etiquette , behaviour ."
will,vouloir,to wish strongly
will,vouloir,To bequeath
men,gens,Mykines The spinal cord
men,gens,in the plural water
men,gens,"a handicap , long-time remnant of a physical or mental injury , which affects a person negatively"
men,gens,"human / man male or female ) , human being"
ha,ah,Alternate spelling of a 4
ha,ah,chess I capture
ha,ah,have Used in forming the perfect aspect and the past perfect aspect .
ha,ah,"auxiliary have / has , added to the front of a verb to make it perfect"
can,jeter,to preserve
ton,tonne,A unit of weight equal to 2240 pounds or 2000 pounds or 1000 kilograms .
ton,tonne,A unit of volume ; register <concept> .
ton,tonne,"In refrigeration and air conditioning , a unit of thermal power defined as 12,000 BTU / h , originally the rate of cooling provided by uniform isothermal melting of one short ton of ice per day at 32 & nbsp ; ° F ."
ton,tonne,A large amount .
research,rechercher,to examine with continued care
two,deux,digit or figure
old,vieux,"Of an object , concept , relationship , etc . , having existed for a relatively long period of time ."
old,vieux,"Of a living being , having lived for most of the expected years ."
old,vieux,"Of a perishable item , having existed for most , or more than its shelf life ."
old,vieux,Of an item that has been used and so is not new unused .
we,nous,water clear liquid H ₂ O
we,nous,Latin script ] ] letter W / w .
we,nous,especially before labial consonants and consonant clusters
we,nous,"the speakers , or the speaker ( s ) and other person ( s ) not being addressed ( exclusive we : he or she or they and I )"
seize,saisir,To deliberately take hold of ; to grab or capture .
seize,saisir,To take advantage of .
seize,saisir,To take possession of .
seize,saisir,To have a sudden and powerful effect upon .
pan,poêle,"A wide , flat receptacle used around the house , especially for cooking ."
pan,poêle,The contents of such a receptacle .
pan,poêle,"A cylindrical receptacle about as tall as it is wide , with one long handle , usually made of metal , used for cooking in the home ."
pan,poêle,"A deep plastic receptacle , used for washing or food preparation ; a basin ."
per,par,"to each , in each"
per,par,"via , by , through"
per,par,in accordance with
per,par,"Belonging to <concept> , their . his and her . } }"
that,que,to a given extent or degree
that,que,"to a great extent or degree , very"
ours,nôtre,masthead list of a newspaper s main staff
ours,nôtre,that which belongs to us
down,duvet,"soft , immature feathers"
hop,houblon,the plant whose flowers are used in brewing
this,ceci,"The thing , item , etc. being indicated"
off,éteint,In a direction away from the speaker or object .
off,éteint,Into a state of non-operation ; into a state of non-existence .
off,éteint,So as to be removed or separated .
year,année,"A solar <concept> , the time it takes the Earth to complete one revolution of the Sun ."
year,année,The time it takes for any astronomical object in direct orbit around a star to make one revolution around the star .
year,année,"A period between set dates that mark a year , from January 1 to December 31 by the Gregorian calendar , from 1 to Elul 29 by the Jewish calendar , and from Muharram 1 to Dhu al-Hijjah 29 or 30 by the Islamic calendar ."
year,année,A scheduled part of a calendar <concept> spent in a specific activity .
good,bon,item of merchandise
way,voie,To do with a place or places .
way,voie,"A road , a direction , a path from one place to another ."
way,voie,A means to enter or leave a place .
way,voie,A geographical area .
what,quel,how much ! ( in an exclamation )
may,aubépine,the hawthorn bush or its blossom
invention,invention,The act of inventing .
invention,invention,The capacity to invent .
invention,invention,"A small , self-contained composition , particularly those in J.S. Bach ’ s and Three-part Inventions ."
invention,invention,The act of discovering or finding ; the act of finding out ; discovery .
ar,erre,"name of the letter R , r"
probable,probable,Likely or most likely to be true .
probable,probable,Likely to happen .
probable,probable,"Supporting , or giving ground for , belief , but not demonstrating ."
probable,probable,Capable of being proved .
three,trois,digit / figure 3
are,are,unit of area
like,genre,colloquial : mild intensifier
like,genre,colloquial : used to precede paraphrased quotations
put,placer,To place something somewhere .
put,placer,"To bring or set into a certain relation , state or condition ."
put,placer,To express something in a certain manner .
put,placer,"To throw a heavy iron ball , as a sport ."
oh,oh,"To utter the interjection <concept> ; to express surprise , etc ."
oh,oh,"the letter O , o"
oh,oh,the digit 0
oh,oh,expression of surprise
sensible,sensible,Perceptible by the senses .
sensible,sensible,Easily perceived ; appreciable .
sensible,sensible,Able to feel or perceive .
sensible,sensible,Liable to external impression ; easily affected ; sensitive .
ring,anneau,algebra : an algebraic structure
cc,cc,carbon copy
near,approcher,come closer to
pure,pur,Free of flaws or imperfections ; unsullied .
pure,pur,free of foreign material or of foreign material or pollutants .
pure,pur,Free of immoral behavior or qualities ; clean .
pure,pur,Done for its own sake instead of serving another branch of science .
bottom,fond,The lowest part of anything .
bottom,fond,"Character , reliability , staying power , dignity , integrity or sound judgment ."
bottom,fond,"A valley , often used in place names ."
bottom,fond,The buttocks or anus .
lo,voici,clearing in a forest
lo,voici,past tense of le
lo,voici,"any of various birds of the family Charadriidae , the plovers and dotterels"
lo,voici,"Sutsilvan wide , broad"
get,obtenir,To obtain ; to acquire .
get,obtenir,To have . See usage notes .
get,obtenir,To cause to become ; to bring about .
get,obtenir,"To fetch , bring , take ."
tend,traiter,To kindle ; ignite ; set on fire ; light ; inflame ; burn .
tend,traiter,To make a tender of ; to offer or tender .
tend,traiter,"To be likely , or probable to do something , or to have a certain from the mid-14th c ."
tend,traiter,To look after from the early 14th c .
more,plus,comparative of much
more,plus,word to form a comparative
he,il,"The game of tag , or it , in which the player attempting to catch the others is called he ."
he,il,A male person .
he,il,The name of the fifth letter of many Semitic alphabets .
he,il,paca large South and Central American rodent
let,filet,hindrance caused by the net during serve at tennis
side,côté,A bounding straight edge of a two-dimensional shape .
side,côté,A flat surface of a three-dimensional object ; a face .
side,côté,One half of something or someone .
side,côté,A region in a specified position with respect to something .
sb,qqn,abbreviation of somebody in explanation
how,comment,in which way
ho,pute,A whore ; a sexually promiscuous woman ; in general use as a highly offensive name-calling word for a woman with connotations of loose sexuality .
ho,pute,a trough ; a long container for feeding or watering animals .
ho,pute,a sink ; often mounted to a wall ; especially a kitchen sink or a washing sink .
under,moins,In a way inferior to
under,moins,In a way lower or less than
come,venir,To move from further away to nearer to .
come,venir,To move towards the speaker .
come,venir,To move towards the listener .
come,venir,To move towards the object that is the focus of the sentence .
now,maintenant,At the time the will is written . Used in order to prevent any inheritance from being transferred to a person of a future marriage . Does not indicate the existence of a previous marriage .
now,maintenant,Fashionable ; popular ; up to date ; current .
now,maintenant,At the present time .
now,maintenant,"Used to introduce a point , a remonstration or a rebuke ."
about,environ,"nearly , approximately"
never,jamais,At no time ; on no occasion ; in no circumstance .
never,jamais,Not at any other time ; not on any other occasion ; not previously .
never,jamais,Negative particle .
never,jamais,Sutsilvan to snow
call,appeler,to name or refer to
call,appeler,to cry or shout
call,appeler,to contact by telephone
call,appeler,to pay a social visit
pa,papa,a Maori fort
pa,papa,"thus , then , so"
pa,papa,to indicates application of an adjective
pa,papa,"for directed at , intended to belong to or to be appropriate for"
far,lointain,Remote in space .
far,lointain,Remote in time .
far,lointain,More remote or longer of two .
far,lointain,Widely different in nature or quality ; opposite in character .
ten,dix,the number following nine
our,notre,"Surmiran edge , margins"
our,notre,belonging to us
seven,sept,The digit / figure 7 or an occurrence thereof .
seven,sept,"to sift , to sieve"
take,prise,film : attempt to record a scene
there,là,In a place or location at some distance from the speaker .
there,là,"In that matter , relation , etc . ; at that point , stage , etc . , regarded as a distinct place ."
there,là,To or into that place ; thither .
there,là,"Where , <concept> where , in which place ."
comparable,comparable,Able to be compared .
comparable,comparable,Similar ; like .
comparable,comparable,Constituting a pair in a particular partial order .
comparable,comparable,Said of an adjective that has a comparative and superlative form .
small,petit,Not large or big ; insignificant ; few in numbers or size .
small,petit,"Young , as a child ."
small,petit,"Minuscule or lowercase , referring to written letters ."
small,petit,little worth or ability ; not ; paltry ; mean .
full,plein,Containing the maximum possible amount of that which can fit in the space available .
full,plein,Complete ; with nothing omitted .
full,plein,"Having eaten to satisfaction , having a full stomach ; replete ."
full,plein,"Of a garment , of a size that is ample , wide , or having ample folds or pleats to be comfortable ."
ah,ah,To give a cry of <concept> .
ah,ah,"shark mullet , at a growth stage of approximately twelve inches"
ah,ah,an expression
tell,dire,"To count , reckon , or enumerate ."
tell,dire,To convey by speech ; to say .
tell,dire,To instruct or inform .
tell,dire,"To order ; to direct , to say to someone ."
early,tôt,at a time before expected
into,dans,Going inside .
into,dans,Going to a geographic region .
into,dans,"Against , especially with force or violence ."
into,dans,After the start of .
hello,salut,<concept> ! or an equivalent greeting .
hello,salut,is anyone there ?
hello,salut,when answering the telephone
have,avoir,"To possess , own , hold ."
have,avoir,To be related in some way to .
have,avoir,To partake of a particular substance or action .
have,avoir,Used in forming the perfect aspect and the past perfect aspect .
multiple,multiple,a number that may be divided by another number with no remainder
room,espace,Wide ; spacious ; roomy .
room,espace,Far ; at a distance ; wide in space or extent .
room,espace,Off from the wind .
room,espace,Opportunity or scope . from 9th c .
say,dire,"To tell , either verbally or in writing ."
say,dire,To indicate in a written form .
say,dire,To have a common expression ; used in singular passive voice or plural active voice to indicate a rumor or well-known fact .
say,dire,"Suppose , assume ; used to mark an example , supposition or hypothesis ."
some,quelque,"approximately , roughly"
upon,sur,Being above and in contact with another .
upon,sur,Being directly supported by another .
upon,sur,Being followed by another so as to form a series .
upon,sur,At a prescribed point in time .
order,commander,to issue a command
order,commander,to request some product or service
order,commander,to set in ( a good ) order
order,commander,to set in ( any ) <concept>
computer,ordinateur,A person employed to perform computations ; one who from 17th c .
computer,ordinateur,"A male <concept> , where the female computer is called a ."
computer,ordinateur,"A programmable electronic device that performs mathematical calculations and logical operations , especially one that can process , store and retrieve large amounts of data very quickly ; now especially , a small one for personal or home use employed for manipulating text or graphics , accessing the Internet , or playing games or from 20th c ."
know,savoir,To perceive the truth or factuality of ; to be certain of or that .
know,savoir,To be aware of ; to be cognizant of .
know,savoir,To be acquainted or familiar with ; to have encountered .
know,savoir,"To distinguish , to discern , particularly by contrast or comparison ; to recognize the nature of ."
where,où,the place in which something happens
next,suivant,the one that follows after this one ( in languages with a definite article that is generally required in this sense )
away,loin,"From a place , hence ."
away,loin,Aside ; off ; in another direction .
away,loin,From a state or condition of being ; out of existence .
away,loin,Come <concept> ; go away ; take away .
area,région,A measure of the extent of a surface ; it is measured in square units .
area,région,A particular geographic region .
area,région,"Any particular extent of surface , especially an empty or unused extent ."
area,région,"The extent , scope , or range of an object or concept ."
work,travail,"Labour , occupation , job ."
work,travail,The place where one is employed .
work,travail,Effort expended on a particular task .
work,travail,Sustained human effort to overcome obstacles and achieve a result .
haven,port,A harbour or anchorage protected from the sea .
haven,port,A place of safety ; a refuge or sanctuary .
haven,port,A peaceful place .
look,air,physical appearance
look,air,facial expression
want,manque,"desire , wish , longing"
too,aussi,Also ; in addition .
too,aussi,To an excessive degree ; over ; more than enough .
too,aussi,"To a high degree , very ."
too,aussi,Used to contradict a negative assertion .
make,marque,brand { { jump
number,numéroter,label with numbers ; assign numbers to
they,ils,third-person plural pronoun
they,ils,"third-person singular , of unknown or irrelevant gender"
they,ils,"one , people , some people"
nine,neuf,the digit or figure 9
none,personne,"in no way To no extent , in no from 11th c ."
none,personne,Not at from 13th c .
none,personne,"No , not . 14th-16th c ."
none,personne,: the ninth hour after dawn ; the religious service appointed to this hour .
through,par,From one side of an opening to the other .
through,par,"Entering , then later leaving ."
through,par,Surrounded by .
through,par,By means of .
another,plus,"one more , in addition to a former number"
another,plus,not the same ; different
thing,chose,"That which is considered to exist as a separate entity , object , quality or concept ."
thing,chose,"A word , symbol , sign , or other referent that can be used to refer to any entity ."
thing,chose,An individual object or distinct entity .
thing,chose,Something that is existent or generally recognised .
inside,intérieur,The interior or inner or lesser part .
inside,intérieur,"The side of a curved road , racetrack etc. that has the shorter arc length ; the side of a racetrack nearer the interior of the course or some other point of reference ."
inside,intérieur,"The interior organs of the body , especially the guts ."
inside,intérieur,"A passenger within a coach or carriage , as distinguished from one upon the outside ."
still,calmer,to calm down
mu,mu,The 12th letter of the Modern Greek alphabet .
mu,mu,Nothingness ; nonexistence ; the illusory nature of reality .
mu,mu,"A unit of surface area , currently equivalent to 666 and 2 / 3 meters squared ."
mu,mu,The name of the letter M
cry,cri,shout or scream
cry,cri,shedding of tears
hi,salut,", often hyphenated ."
hi,salut,"winter quarters , winter lair ; hibernation used literally or figuratively"
hi,salut,"lair of an animal , sett badgers"
hi,salut,"friendly , informal greeting"
their,leur,belonging to them ( plural )
regards,cordialement,greeting at the end of a letter
them,les,third personal plural pronoun used after a preposition or as the object of a verb
won,won,currency of Korea
against,contre,A close but separated relationship .
against,contre,In a contrary direction to .
against,contre,In front of ; before a background .
against,contre,In physical contact with .
between,entre,"In the position or interval that separates , or intermediate in quantity or degree ."
between,entre,Done together or reciprocally .
between,entre,Shared in confidence .
between,entre,In transit from .
around,autour,Defining a circle or closed curve containing a thing .
around,autour,Following the perimeter of a specified area and returning to the starting point .
around,autour,"Following a path which curves near an object , with the object on the inside of the curve ."
around,autour,Near ; in the vicinity of .
shell,décortiquer,to remove the outer covering or <concept> of something
shell,décortiquer,"to bombard , to fire projectiles at"
shell,décortiquer,"informal : to disburse or give up money , to pay"
bravo,bravo,interjection
why,ha,exclamation of surprise
very,très,to a high degree
than,que,"introduces a comparison , and is associated with comparatives , and with words such as more , less , and fewer . Typically , it seeks to measure the force of an adjective or similar description between two predicates ."
than,que,Introduces a comparison
turn,tour,one s chance to make a move in a game
alone,seul,"By oneself , solitary ."
alone,seul,"Apart from , or exclusive of , others ."
alone,seul,Unique ; rare ; matchless .
use,utiliser,"employ , apply"
use,utiliser,rare : to habitually do
said,ledit,mentioned earlier
novel,roman,work of prose fiction
ever,toujours,At any time .
ever,toujours,In any way .
ever,toujours,As intensifier following an interrogative word .
ever,toujours,at any time
give,donner,"To move , shift , provide something abstract or concrete to someone or something or somewhere ."
give,donner,To transfer one s possession or holding of to .
give,donner,To make a present or gift of .
give,donner,"To provide to , to allow or afford ."
together,ensemble,"At the same time , in the same place ; in close association or proximity ."
together,ensemble,Into one place ; into a single thing ; combined .
together,ensemble,"In a relationship or partnership , for example a business relationship or a romantic partnership ."
together,ensemble,Without intermission or interruption ; continuously ; uninterruptedly
hay,foin,Grass cut and dried for use as animal fodder .
hay,foin,Any mix of green leafy plants used for fodder .
hay,foin,"A net set around the haunt of an animal , especially a rabbit ."
hay,foin,A circular country dance .
welcome,accueillir,affirm or greet the arrival of someone
past,après,beyond in place
every,tout,all of a countable group
everything,tout,all the things
behind,derrière,"butt , buttocks"
behind,derrière,"rear , back-end"
ml,ml,symbol for the milliliter
mayor,maire,"The leader of a city , or a municipality , sometimes just a figurehead and sometimes a powerful position . In some countries , the mayor is elected by the citizens or by the city council ."
mayor,maire,"By restriction , a male municipal leader"
mayor,maire,"The steward of some royal courts , particularly in early Medieval France"
mayor,maire,old ; at an advanced age
kind,gentil,"affectionate , nice"
believe,croire,"To accept as true , particularly without absolute certainty"
believe,croire,To accept that someone is telling the truth .
believe,croire,To have religious faith ; to <concept> in a greater truth .
believe,croire,to accept as true
pe,pé,Semitic letter
being,être,a living creature
being,être,the state or fact of existence
came,plomb,A grooved strip of lead
eight,huit,Playing card with value 8
eight,huit,The digit / figure 8
present,présenter,bring into the presence of
always,toujours,at all times
during,durant,For all of a given time interval .
during,durant,At any time or period within a given time interval .
during,durant,for all of a given time interval
during,durant,within a given time interval
dear,cher,High in price ; expensive .
dear,cher,"Loving , affectionate , heartfelt"
dear,cher,Precious to or greatly valued by someone .
dear,cher,"A formal way to start addressing somebody at the beginning of a letter , memo etc ."
saw,proverbe,saying or proverb
move,coup,the act of moving a token on a gameboard
move,coup,the event of changing one s residence
much,beaucoup,to a great extent
must,moût,"Fruit juice that will ferment or has fermented , usually grapes"
wanted,recherché,wished for ; desired ; sought
wanted,recherché,subject to immediate detainment by law enforcement authorities on sight .
wanted,recherché,subject to immediate detainment
wish,souhait,"a desire , hope , or longing for something or for something to happen"
wish,souhait,an expression of such a desire etc .
wish,souhait,the process of expressing or thinking about such a desire etc .
wish,souhait,the thing desired or longed for
within,dedans,Indicates spatial enclosure or containment .
