radiculaire	radicular
marécage	swamp
fossilisation	fossilization
nakfa	nakfa
graveur	engraver
proroger	prorogue
pachyderme	pachyderm
isonomie	isonomia
tracer	vamoose
graffiti	graffiti
libation	libation
influent	influential
claustrophobie	claustrophobia
chaussure	sole
confronter	confront
havresac	haversack
instrument	instrument
volume	capacity
tsarat	tsardom
ligand	ligand
injustice	injustice
tyran	tyrant
poissarde	fishwife
vitrine	vitrine
vœu	vow
monogramme	monogram
docile	docile
irritable	irritable
whiskey	whiskey
suspect	suspicion
bioaccumulation	bioaccumulation
morna	morna
landau	stroller
saké	saké
zino	zino
patiemment	patiently
coloniser	colonise
rixe	brawl
chausser	shoe
ablation	ablation
heure	hour
trot	trot
kapsiki	kapsiki
streetwear	streetwear
mosaïque	mosaic
wingsuit	wingsuit
illégal	illegal
pleurer	water
clitoridien	clitoral
sénile	senile
ostéopathie	osteopathy
avare	covetous
aspe	asp
ji	jay
éloignement	remoteness
mâtiné	mongrel
vulcanisation	vulcanization
mandarine	tangerine
compter	count
vergée	rood
sécrétion	secretion
photogénique	photogenic
glaner	glean
additif	additive
accidenté	rugged
houppe	tuft
herse	portcullis
assourdissant	deafening
broyer	crush
combattre	combat
anormal	anomalous
ethnobotanique	ethnobotany
surcharger	overcharge
supplétion	suppletion
abstenir	abstain
pyracantha	firethorn
algarade	dispute
paralogisme	paralogism
allégé	light
placébo	placebo
aléatoirement	randomly
kâfir	kafir
contraceptif	contraceptive
laquais	lackey
chromatographie	chromatography
devoir	assignment
sumo	sumo
extraire	extract
mât	mast
difficile	challenging
abattoir	slaughterhouse
duplicata	duplicate
immigration	immigration
télésiège	chairlift
empaler	impale
représenter	exhibit
articuler	articulate
possesseur	possessor
rumination	rumination
ibuprofène	ibuprofen
contrer	double
hémione	onager
mésenchyme	mesenchyme
rentrer	reenter
véhiculer	convey
gland	dickhead
délabré	disrepair
colibri	hummingbird
sonar	sonar
tectonique	tectonics
rediffuser	rerun
concubine	concubine
putride	putrid
enfin	finally
naïade	naiad
tentation	temptation
obligataire	bondholder
pétase	petasus
infructueux	unfruitful
fantôme	ghost
présure	rennet
évaluation	assessment
éventualité	eventuality
torche	firebrand
créditiste	socred
néonatalogie	neonatology
préproduction	preproduction
démographie	demography
mâche	mâche
achard	achar
avenant	comely
signifier	signify
consacrer	sanctify
sommairement	basically
former	constitute
saignée	bloodletting
globalisation	globalization
interlude	interlude
déformation	deformation
abréger	abstract
apostat	apostate
content	pleased
putain	slapper
tutélaire	tutelary
charade	guess
exfoliation	exfoliation
qualité	quality
convoité	coveted
inversible	reversal
yin	yin
maximum	maximum
réfectoire	refectory
chic	classy
volition	volition
pléthore	plethora
baryton	baritone
temple	temple
bizarre	bizarre
visière	cap
salopette	bib
heptagone	heptagon
périscopique	periscopic
rickettsie	rickettsia
multitâche	multitasking
résoudre	resolve
machin	thingy
raffinerie	refinery
marmonner	mumble
pays	land
sépulcre	sepulchre
mainate	myna
masculinisation	masculinization
fuligineux	sooty
saison	spring
bip	beep
préféré	favorite
assassinat	assassination
tétraplégie	tetraplegia
marionnettiste	puppet
souligner	underline
or	now
occuper	occupy
pratique	theory
écrire	author
clairière	glade
privilégié	privileged
soustraire	subtract
créature	creature
pâté	pate
langue	tongue
restaurer	reset
emmurer	wall
gratuit	free
supposition	supposition
encadrement	framing
biométrie	biometrics
embrocher	skewer
ontogenèse	ontogenesis
cricri	cricket
écomusée	ecomuseum
coupelle	cupel
rattrapage	remediation
cérébrospinal	cerebrospinal
éteindre	extinguish
robe	gown
ferraille	scrap
irrévérencieux	irreverent
nid	nest
macération	maceration
installer	prepare
restreindre	restrict
plaider	litigate
huitaine	octad
dermique	dermal
gaullisme	gaullism
amphétamine	amphetamine
acrophobie	acrophobia
abouté	abutting
saliver	salivate
malaisément	uneasily
chômer	idle
rétrospectif	retrospective
morphose	morphing
rempart	battlement
prétentieux	pretentious
saïga	saiga
socca	calentita
hypertendu	hypertensive
ruisselet	streamlet
bugrane	restharrow
phonétique	phonetic
quiz	quiz
casino	casino
pouilleux	lousy
érotisme	eroticism
atone	expressionless
hème	hemoglobin
vol	theft
aven	sinkhole
raisonnement	ratiocination
atroce	heinous
hypnotisé	hypnotized
livreur	deliveryman
épidémiologie	epidemiology
malade	diseased
logistique	logistic
maturité	mature
pourcentage	percentage
prehnite	prehnite
hanami	hanami
sommeil	sleep
théosophe	theosophist
mégalodon	megalodon
nouvellement	newly
vaginisme	vaginismus
purification	purification
valet	valet
garniture	garniture
antipathie	antipathy
dyne	dyne
pilon	pestle
lupin	lupin
portfolio	portfolio
gelato	gelato
ara	macaw
lascif	lascivious
physiologique	physiological
caste	caste
charter	charter
palette	load
alchimiste	alchemist
allonge	allonge
thermodynamique	thermodynamic
anticlinal	anticline
spontanément	offhand
échangeable	swappable
chlorofluorocarbure	chlorofluorocarbon
sphéricité	sphericity
excité	randy
favorable	conducive
mairesse	mayoress
trisomie	trisomy
survol	flyby
cryoconservation	cryopreservation
absurde	nonsensical
souplesse	suppleness
cambrioleur	burglar
ornithologue	ornithologist
pivot	pivot
hasardeux	adventurous
terrain	parcel
collège	university
séjour	stay
méchanceté	wickedness
gâter	spoil
riverain	lakeside
rusé	devious
décisionnel	decisional
pornocratie	pornocracy
musculation	weightlifting
ballottage	runoff
sieste	nap
descendre	descend
paravent	screen
insatisfait	unsatisfied
économique	economic
superfluidité	superfluidity
rogne	anger
péremptoire	peremptory
boiterie	limp
occlusif	occlusive
accès	approach
modifiable	editable
chevesne	chub
faune	fauna
extrêmement	highly
lieu	people
personnalité	personality
caverneux	cavernous
gravelot	plover
curé	parson
prosodique	prosodic
volontariste	voluntarist
manger	consume
isotope	isotopy
kiffer	luv
ostentation	display
congère	snowdrift
moniteur	monitor
pacifiste	pacifist
voler	rob
subrécargue	supercargo
gluten	gluten
analgésique	anodyne
cauchois	cauchois
hypercorrection	hypercorrection
flatterie	flattery
bovidé	bovid
répondre	respond
inviolable	inviolable
contumace	contumacy
bras	arm
illumination	flash
bugle	bugleweed
gazeux	carbonated
pertechnétate	pertechnetate
palan	hoist
suspendre	suspend
éponyme	eponym
dyslexique	dyslexic
vouloir	would
morpher	morph
susceptible	stimulus
séquencé	sequenced
éclabousser	splatter
envenimation	envenomation
fenfluramine	fenfluramine
oxycodone	oxycodone
gorille	goon
réservé	reserved
balustre	baluster
adepte	adept
indéfendable	indefensible
travailleur	worker
comment	how
motiver	impel
mamelle	breast
perdre	lose
munir	equip
dubitatif	skeptical
émanciper	unshackle
sociabilité	sociability
néon	neon
feuillu	leafy
synonyme	synonymous
alcène	alkene
travestissement	transvestism
microphone	microphone
pattern	pattern
bardane	burdock
hospodar	hospodar
satisfaction	satisfaction
affecté	affected
détente	détente
negroni	negroni
rétroflexe	retroflex
hexavalent	hexavalent
infection	infection
cornichon	gherkin
lasso	lasso
ethnologue	ethnologist
œnochoé	oinochoe
prodigalité	prodigality
bilocation	bilocation
semblable	congenial
végéter	vegetate
floribunda	floribunda
procrastination	procrastination
personnalisation	personalization
blabla	blah
semence	seed
animateur	host
étudiant	student
zéphyr	zephyr
professionnaliser	professionalize
insuffisant	scant
moisson	harvest
critiquer	criticize
monture	mount
aussitôt	immediately
patrie	fatherland
glaciologie	glaciology
faute	mispronunciation
dioptrique	dioptrics
clause	stipulation
lésène	lesene
douceur	softness
esquire	esquire
conflit	conflict
blanchir	blanch
vélomobile	velomobile
étanche	sealed
désespérer	despair
lecteur	reader
étudier	investigate
artéfact	artefact
effacer	erase
matériau	material
nausée	nausea
autogreffe	autograft
poterie	clay
plasmide	plasmid
patriarcat	patriarchy
garnison	garrison
spectaculaire	spectacular
cnidaire	cnidarian
conformément	pursuant
futé	shrewd
sachet	sachet
supremum	supremum
kilométrique	kilometric
akène	achene
fertilisant	fertiliser
hommage	respect
matador	matador
bouffe	grub
porno	porno
tigron	tiglon
prologue	prologue
putto	putto
chaland	barge
conditionner	condition
breakcore	breakcore
thiosulfate	thiosulfate
privatisation	privatization
collègue	colleague
bontebok	bontebok
cigüe	hemlock
acquis	acquired
écharde	splinter
anse	bail
poulailler	henhouse
laïcisme	secularism
curiethérapie	brachytherapy
frivole	frivolous
fainéant	idler
correct	reasonable
cervelle	brains
œsophage	gullet
trouvable	findable
achat	purchase
hurluberlu	weirdo
phénoménologie	phenomenology
fiancé	betrothed
tactique	tactical
déplorer	weep
direct	direct
rotor	rotor
affermir	establish
intérioriser	internalize
bossu	hunchback
musculature	musculature
entendre	listen
fondation	foundation
épiglotte	epiglottis
voie	way
ecclésiastique	ecclesiastic
éplucher	peel
hébergement	accommodation
tellurure	telluride
pointilleux	fastidious
sium	sium
gratitude	gratitude
dépourvu	lacking
équivalent	equivalent
nonchalamment	carelessly
décomposer	decompose
larguer	unfurl
synchronie	synchrony
propédeutique	propaedeutic
chromatique	chromatic
diasporique	diasporic
prédestination	predestination
contourner	bypass
fretté	fretty
classification	classification
sandwich	sandwich
indéfinissable	indefinable
isotrope	isotropic
frénésie	spree
surpeuplement	overpopulation
transition	segue
bief	reach
murmure	murmur
crématorium	crematorium
administrateur	manager
tendu	tense
correspondre	correspond
quatrième	fourth
terroriste	terrorist
pixel	pixel
frontispice	frontispiece
yod	yod
nunatak	nunatak
regroupement	regrouping
fixer	assign
boules	boules
référencement	referencing
gazon	lawn
abortif	abortive
enfoiré	prick
abrasion	abrasion
réalgar	realgar
granulite	granulite
tique	tick
opportunisme	opportunism
coulage	pouring
phénylalanine	phenylalanine
dépendance	addiction
diamétralement	diametrically
mythomanie	mythomania
salon	salon
dissimuler	hide
lame	edge
mockbuster	mockbuster
jucher	perch
devise	motto
pareillement	similarly
tracer	draw
sensationnel	sensational
codex	codex
pyrrhotite	pyrrhotite
utilisation	utilisation
bienfaisante	beneficial
échalote	shallot
cétogenèse	ketogenesis
céramique	ceramic
émoticône	emoticon
ronger	gnaw
indigence	poverty
facilité	skill
éclater	burst
ici	hither
manquant	missing
utriculaire	bladderwort
recommencer	recommence
taule	pad
voisement	sonorization
convenablement	adequately
suave	suave
impression	impression
upsilon	upsilon
spline	spline
washi	washi
setar	setar
anémochorie	anemochory
bénéficiaire	beneficiary
protéiforme	protean
thorax	abdomen
sérac	serac
discographie	discography
désordonné	messy
bilabial	bilabial
polyuréthane	polyurethane
morgue	morgue
péroné	fibula
couturier	couturier
camping	camping
monozygote	monozygotic
spinnaker	spinnaker
poirée	chard
hirsute	hairy
quattrocento	quattrocento
pastille	pastille
pénitencier	penitentiary
turbide	turbid
tractage	flyering
calebasse	calabash
indécent	indecent
vêpres	vespers
emphatique	emphatic
adolescent	juvenile
éternellement	eternally
vue	sight
métempsycose	metempsychosis
lettrage	lettering
tuyauteur	pipefitter
razzia	raid
postmodernité	postmodernity
propyle	propyl
gaga	gaga
nécromancien	necromancer
arroche	orache
syncope	syncope
indéchiffrable	indecipherable
barillet	cylinder
prêteur	lender
cascade	waterfall
ressusciter	resuscitate
poiré	perry
désenchanté	disenchanted
choix	option
égratignure	scratch
balbuzard	osprey
finale	endgame
guérison	recovery
miséricordieux	merciful
gale	scabies
soutenable	tenable
gargarisme	mouthwash
gémir	whimper
mauvéine	mauveine
bourgeon	bud
chaleureusement	heartily
gaufre	waffle
recommandé	recommended
larme	tear
rayon	ray
normalisation	normalization
éjaculat	ejaculate
oligomérisation	oligomerization
diégèse	diegesis
modestie	modesty
rabbin	rabbi
discutable	debatable
cyclopentane	cyclopentane
corroder	corrode
djellaba	djellaba
cassation	cassation
triglycéride	triglyceride
discours	speech
interprète	interpreter
ingénieur	engineer
dernier	ultimate
kilim	kilim
prier	pray
croquer	crunch
contour	contour
écoinçon	spandrel
badge	badge
prix	price
jugulaire	jugular
substantialisme	substantialism
envelopper	envelop
dompteur	tamer
trafiquer	tamper
infondé	groundless
élevé	elevated
ventilation	ventilation
plaidoyer	plead
exister	exist
anglais	english
lardon	bacon
babine	chops
embouteillage	bottling
plasticien	plastician
myope	myopic
électrique	electric
joaillier	jeweler
cératophylle	hornwort
antiterroriste	antiterrorist
baquet	box
filleul	godson
dont	whose
homotopie	homotopy
cupidité	cupidity
vagabond	vagrant
fête	festival
inertie	inertness
garrigue	garrigue
tendu	rope
rhéologique	rheological
facette	facet
noctule	noctule
dictée	dictation
rétrécir	shrink
insaturé	unsaturated
épineux	prickly
indomptable	untameable
déliquescence	deliquescence
reliquaire	hallows
ombreux	shady
accomplir	accomplish
rémunération	salary
frottage	rubbing
sévèrement	severely
anthracite	anthracite
inflexion	inflection
ajout	addition
final	final
radiation	radiation
diamine	diamine
recyclage	recycling
provocation	provocation
isomérie	isomerism
marquise	awning
prime	bounty
justifier	explanation
amont	upstream
émir	emir
indépendamment	independently
malard	drake
rubrique	rubric
papyrologue	papyrologist
copra	copra
cariatide	caryatid
priver	deprive
tremper	dip
facial	facial
puissant	powerful
reconnu	recognized
garce	slut
époustouflant	breathtaking
roulement	bearing
négationniste	denialist
interlocuteur	interlocutor
contrainte	cacoethes
impur	polluted
rushes	rushes
auteur	progenitor
végétation	vegetation
poix	pitch
vraisemblable	believable
vicinal	vicinal
morceau	piece
familiariser	familiarize
chéneau	gutter
gémir	groan
oublié	forgotten
orthographiquement	orthographically
fasciste	fascist
exposé	presentation
polynucléaire	polynuclear
axiomatique	axiomatic
largo	larghetto
khatchkar	khachkar
effilé	sharp
octopode	octopus
persévérer	persevere
cleptomane	kleptomaniac
claie	hurdle
exergonique	exergonic
nidicole	nidicolous
papesse	papess
pisteur	tracker
remercier	thank
etrog	etrog
cœur	courage
déchaux	discalced
investigation	vetting
ville	city
mainmise	choke
impliquer	involve
délirer	delirious
batteur	drummer
éducatif	instructive
étymon	etymon
princesse	princess
yoga	yoga
osmium	osmium
stéradian	steradian
rapide	quick
anhydrite	anhydrite
barque	barque
icône	icon
caddy	caddy
peso	peso
candela	candela
shooting	shoot
renverser	topple
fermoir	clasp
portier	doorman
chef	chief
indéterminable	indeterminable
pourriture	rot
collaboratif	collaborative
démolir	demolish
euphonie	euphony
pyrèthre	pyrethrum
recruter	recruit
bœuf	ox
sultanat	sultanate
orthodoxie	orthodoxy
erroné	erroneous
tridactyle	tridactyl
surgir	emerge
régicide	regicide
proleptique	proleptic
phéromonal	pheromonal
similaire	alike
facultatif	dispensable
boléite	boleite
électrique	electrical
amuser	distract
lointain	distant
tournoyer	whirl
dissident	dissenter
hématologie	haematology
créditeur	creditor
sapin	conifer
transformée	transform
tropique	tropics
prunelle	sloe
fidélité	fidelity
ergodique	ergodic
doublet	doublet
informer	inform
chaînette	catenary
shogunal	shogunal
héliopause	heliopause
dignement	worthily
naval	naval
loisir	leisure
filiale	subsidiary
stick	stick
brigadier	brigade
assiette	plate
testateur	testator
rhinocéros	rhinoceros
soubassement	underpinning
veine	vein
porphyre	porphyry
diabolisation	demonization
vaincu	worsted
bedaine	potbelly
arythmie	arrhythmia
isoler	insulate
réduction	reduction
parthénogenèse	parthenogenesis
improviser	wing
pasteur	minister
spacieux	spacious
légataire	legatee
archiphonème	archiphoneme
sincère	sincere
anthologiste	anthologist
thermochimie	thermochemistry
balistique	ballistics
relater	relate
naturaliste	naturalistic
primauté	primacy
carie	cavity
agaçant	pesky
géranium	geranium
surveillance	monitoring
virago	virago
tamarin	tamarin
équitable	equitable
mental	mental
antisens	antisense
repas	meal
iconique	iconic
débutant	beginner
décongeler	defrost
altérité	otherness
antimoine	stibnite
séché	dried
obligatoire	obligatory
psychédélique	psychedelic
accorder	award
tempête	storm
méthadone	methadone
sol	floor
cocaïne	cocaine
ethnocentrique	ethnocentric
humaniste	humanist
réversion	reversion
beurk	ew
girouette	weathercock
historiographe	historiographer
hum	humph
applicatif	applicative
ovins	sheep
abducteur	abductor
astronaute	spaceman
panier	basket
calfat	caulker
enracinement	rooting
justement	reasonably
colinéaire	collinear
route	road
cénote	cenote
tumeur	tumor
abeille	bee
ciblage	targeting
diachronie	diachrony
canidé	canid
parolier	lyricist
haletant	breathless
renne	reindeer
déguisement	disguise
prier	beg
génomique	genomics
osciller	wobble
intervenant	stakeholder
énième	umpteenth
immangeable	inedible
garage	garage
valériane	valerian
centralisation	centralization
provisoire	tentative
clerc	cleric
ensemble	probability
déversement	spill
absurdité	senselessness
ouïe	hearing
viscéral	gut
congélation	freezing
dénouement	denouement
déverrouiller	unlock
photocopieuse	photocopier
cellulaire	cellular
symplectique	symplectic
trigramme	trigraph
roulotte	caravan
nones	nones
rénovation	renovation
marché	marketplace
fin	fine
image	sight
chronographe	chronograph
retenir	keep
tenségrité	tensegrity
local	office
camping	campsite
panégyrique	panegyric
endocarpe	endocarp
industrieux	diligent
dépénaliser	legalise
bavard	talkative
pédibus	pedibus
cahier	notebook
uridine	uridine
piratage	hacking
opérer	operate
kéa	kea
merisier	mazzard
épistémique	epistemic
prémix	alcopop
aboyeur	barker
placidité	serenity
catalyse	catalysis
dur	hardly
videur	bouncer
déconcerté	baffled
bassin	sacrum
bâtiment	building
céleste	celestial
restes	leftovers
truc	whatchamacallit
communicatif	communicative
coureur	runner
pénien	penile
expression	expression
éventuel	potential
son	bran
aménité	amenity
assaillir	attack
dénomination	denomination
lama	lama
ballast	ballast
particulièrement	specially
quetsche	damson
bradycardie	bradycardia
précarité	precarity
simplificateur	simplifier
intellect	intellect
tripartite	tripartite
flambeau	flambeau
dériver	drift
télomère	telomere
affectation	affectation
document	certificate
alanine	alanine
Ægir	Ægir
encouragement	encouragement
apiculteur	beekeeper
capitulation	surrender
perturbation	perturbation
grand	tall
sarriette	savory
roitelet	goldcrest
bibine	dishwater
capture	capture
mangabey	mangabey
mensuration	measurements
avitaminose	avitaminosis
effroi	fright
synchronisation	synchronization
plaisir	fun
vanne	valve
compensateur	flettner
échecs	chess
compagnon	companion
déshériter	disinherit
réconciliation	reconciliation
réactiver	reactivate
fanart	fanart
adapté	adapt
scion	shoot
ordonnance	order
absurdité	absurdity
dévisser	unscrew
étang	pond
compétence	proficiency
préférable	preferable
hameau	thorp
censurer	bowdlerize
nan	nah
antépénultième	antepenultimate
couperose	rosacea
holistique	holistic
coing	quince
pâle	pale
photographie	plate
bouillant	boiling
dépendance	addictive
geai	jay
nèfle	medlar
capacité	ability
incapable	unable
littéral	literal
schéma	diagram
étalon	standard
freelance	freelance
directrice	headmistress
dérangement	inconvenience
nitroglycérine	nitroglycerine
généraliser	generalize
solive	joist
paisible	placid
léser	wrong
gorgerin	gorget
imprégner	impregnate
autoclave	autoclave
coque	shell
raider	raider
fort	portly
taka	taka
menaçant	surly
trésorerie	treasury
conte	story
dismutation	disproportionation
exclusif	exclusive
tacite	tacit
bon	good
route	path
arroser	sprinkle
tromper	mistake
ostéomyélite	osteomyelitis
adage	adage
sapin	fir
intrépide	intrepid
charbon	coal
récit	narrative
esperluette	ampersand
macaque	macaque
losange	diamond
maxillaire	maxillary
paroi	paries
trilogie	trilogy
drague	pickup
flasque	flaccid
commandant	major
invitation	invitation
doper	dope
proéminent	prominent
dessus	above
mangouste	mongoose
bonbon	bonbon
réceptif	receptive
cohabitation	cohabitation
sècheresse	dryness
webmestre	webmaster
soulager	relieve
parser	parse
indiscret	indiscreet
impolitesse	rudeness
attractif	attractive
promener	walk
allez	go
compliqué	complicated
militance	militancy
géoïde	geoid
sexualité	sexuality
bourdonnement	buzzing
adjoint	deputy
socle	socle
consumer	consume
syntaxique	syntactic
fibrillaire	fibrillar
jambon	ham
écritoire	desk
influer	influence
marine	marine
sacral	sacral
attestation	attestation
gabbro	gabbro
romarin	rosemary
progresser	progress
fragilité	frailty
âprement	fiercely
idéel	ideal
saillant	salient
renvoyer	resend
environnementaliste	environmentalist
manga	manga
intégration	integration
grisaille	grisaille
tank	tank
torrent	torrent
baza	baza
fritillaire	fritillary
socinianisme	socinianism
buter	bump
allô	hello
destin	fortune
personnalisable	customisable
pizzicato	pizzicato
insoumission	rebelliousness
cendrier	ashcan
curée	quarry
colocataire	roommate
époux	spouse
clairvoyance	foresight
prouesse	prowess
napperon	doily
proprement	cleanly
rondelle	washer
rationnel	rational
hématologue	haematologist
tamarin	tamarind
pusillanimité	pusillanimity
autocollant	sticker
entreprenant	enterprising
calcaire	calcareous
élevage	breeding
remorqueur	tugboat
bastille	stronghold
protéine	peptide
rentabilité	profitability
pied	foot
rendre	return
protubérance	protrusion
kippa	skullcap
gaucher	southpaw
ostéoporose	osteoporosis
rongeur	rodent
bouillon	broth
phlébotome	sandfly
cotre	cutter
entrave	hindrance
ostinato	ostinato
vinaigrette	vinaigrette
ancrer	anchor
effectif	factual
panpsychisme	panpsychism
indésirable	undesirable
évanouissement	fainting
lacération	laceration
validité	validity
pulpite	pulpitis
spinelle	spinel
gâché	botched
pin	pine
homographe	homograph
audacieusement	audaciously
empan	span
inévitable	unavoidable
retrait	withdrawal
réserve	storeroom
lige	liege
psychophysiologique	psychophysiological
sponsoring	sponsoring
momo	momo
atlante	telamon
sertir	crimp
cesser	cease
nominé	nominee
créancier	creditor
omettre	elide
principalement	predominantly
piézoélectrique	piezoelectric
chlorophylle	chlorophyll
national	national
souche	stub
engraisser	fatten
rivulaire	riparian
empoté	clumsy
spécimen	individual
demoiselle	lass
tutu	tutu
valise	suitcase
financer	finance
infraction	infringement
médina	medina
mydriase	mydriasis
encercler	encompass
crib	crib
pizza	pizza
reconnaître	recognize
bouée	buoy
violemment	violently
planète	planet
braquage	steering
astérosismologie	asteroseismology
opulence	affluence
scansion	scansion
nanotube	nanotube
archiduc	archduke
journalistique	news
brûlis	swidden
mégafaune	megafauna
micropaiement	micropayment
simplement	just
salé	salty
primitif	primeval
minuit	midnight
électoral	electoral
tremplin	inrun
braguette	fly
radin	cheapskate
opus	opus
bredouille	emptyhanded
lignite	lignite
hémine	hemin
domination	domination
désirer	desire
globe	globe
irruption	irruption
merlon	merlon
surveillance	surveillance
centum	centum
grossièrement	grossly
beignet	fritter
gaufre	gopher
iconographie	iconography
morphème	morpheme
civiliser	civilise
hurler	whoop
enregistrement	registry
orbiter	orbit
étatisation	nationalization
antimatière	antimatter
ligase	ligase
chiot	puppy
ostensiblement	ostensibly
empêcher	prevent
dépolymérisation	depolymerization
pernicieux	pernicious
domestique	household
personne	none
ophidien	ophidian
chevalet	bridge
éboulement	collapse
biologiste	biologist
malheureusement	unfortunately
houle	surge
sectionné	severed
enseigner	show
mentalisme	mentalism
parachutiste	parachuter
hypocalcémie	hypocalcemia
où	whither
loquacité	loquacity
monde	world
prévention	prevention
aquatique	aquatic
meurtrier	murderous
triglyphe	triglyph
fiancé	engaged
positif	positive
tricolore	tricolor
coordination	synchronization
lunaire	lunar
sigle	initialism
allonger	elongate
acre	acre
amie	girlfriend
prévenance	thoughtfulness
acétaldéhyde	acetaldehyde
jubilatoire	exhilarating
tamia	chipmunk
cordialement	cordially
malicieusement	maliciously
damer	groom
karaté	karate
charmer	charm
assembler	dovetail
soda	soda
ruisseau	river
macaron	macaron
cdr	cdr
aiguillette	ballyhoo
majoritairement	mostly
macrocéphalie	macrocephaly
audace	chutzpah
rallier	rally
antonyme	antonym
hâtivement	hastily
coin	nook
hydravion	seaplane
brosser	brush
aïeux	forefathers
édilité	aedileship
roulis	roll
secte	sect
futon	futon
retirer	extract
ytterbium	ytterbium
lymphatique	lymph
annuaire	yearbook
dépasser	protrude
crête	crest
fullerène	fullerene
ambiant	ambient
dyadique	dyadic
fumeur	smoker
pourpoint	doublet
persienne	louver
photojournalisme	photojournalism
pneu	tyre
ambitieux	ambitious
distinct	different
poêle	pall
cramoisi	crimson
chaussée	embankment
minuterie	timer
récupérer	retrieve
dessous	underwear
ciment	cement
ununoctium	ununoctium
insolence	insolence
préhistorique	prehistoric
vache	cow
tripoint	tripoint
délibération	deliberation
vrai	reality
rudement	roughly
intriguer	intrigue
remerciement	thanks
jars	goose
idolâtrer	revere
ajouter	add
esthétique	aesthetics
cadi	qadi
portion	portion
romanov	romanov
imputation	imputation
jument	mare
phellogène	phellogen
antre	cave
imiter	imitate
voïvodie	voivodeship
pays	country
informel	informal
darne	slice
devenir	become
déductif	deductive
décroissant	waning
ordonné	ordered
fréquence	frequency
pézize	peziza
décarboxylation	decarboxylation
voltiger	flit
blesser	hurt
décisif	decisive
bactériologie	bacteriology
toile	thread
électricien	electrician
sauvagerie	savagery
brûler	burn
inconfortable	uncomfortable
méridienne	armchair
uranium	uranium
exaction	exaction
lactation	lactation
jus	juice
surpoids	overweight
mademoiselle	miss
masu	masu
millier	thousand
cancéreux	cancerous
chronophotographie	chronophotography
préservation	conservation
quantification	quantization
fissure	crevice
gnôle	hooch
glisser	glide
plume	feather
prévoir	schedule
hypersonique	hypersonic
short	shorts
pistolet	pistol
démocrate	democrat
géodésiste	geodesist
prénuptial	prenuptial
copeau	swarf
